Height	Width	Area	Aspect_Ratio
8.418000000000001	2.0700000000000003	13.23558	0.2459016393442623
19.182000000000002	6.7620000000000005	94.658202	0.35251798561151076
3.45	1.242	2.6280720000000004	0.36
7.176	5.106000000000001	22.586184000000003	0.7115384615384616
12.420000000000002	2.208	17.739486000000003	0.17777777777777778
12.696000000000002	4.140000000000001	30.556098000000002	0.32608695652173914
13.386000000000001	5.658	47.54334600000001	0.422680412371134
10.488000000000001	4.416	27.75663	0.42105263157894735
5.796	2.898	8.703108	0.5
4.002000000000001	3.1740000000000004	7.065324	0.7931034482758621
3.0360000000000005	3.0360000000000005	5.675112	1.0
5.5200000000000005	3.1740000000000004	11.245482	0.575
5.934	3.7260000000000004	13.549806000000002	0.627906976744186
3.588	1.6560000000000001	4.113504000000001	0.46153846153846156
